latitude, longitude, altitude 
55.3672241, 10.4303554, 96.77985653218946 
55.3672256, 10.430356, 96.84385365322784 
55.3672275, 10.430356, 96.96585129474616 
55.3672293, 10.4303553, 96.9928502468981 
55.3672307, 10.4303549, 97.16084918705886 
55.3672327, 10.430356, 97.0728448398728 
55.3672341, 10.4303559, 97.05184327150467 
55.3672363, 10.4303558, 97.0018407100502 
55.3672383, 10.4303558, 97.09783822734332 
55.3672405, 10.4303561, 97.04983498783605 
55.3672419, 10.4303554, 97.10283443643891 
55.3672449, 10.4303562, 97.0598293562721 
55.3672468, 10.4303564, 97.0688266586217 
55.3672484, 10.4303549, 97.2388272149347 
55.3672505, 10.4303558, 97.38582308244914 
55.3672525, 10.4303525, 97.45682619323331 
55.367255, 10.4303533, 97.5848217336439 
55.367256, 10.4303522, 97.60382235675081 
55.367258, 10.43035, 97.33182360295176 
55.36726, 10.4303489, 97.2028229845977 
55.3672611, 10.4303489, 97.27082161899978 
55.3672626, 10.4303471, 97.21982280787574 
55.3672637, 10.4303456, 97.221823984818 
55.3672642, 10.4303445, 97.11882522862211 
55.3672666, 10.4303455, 96.99982055405454 
55.367268, 10.4303447, 96.73782017200992 
55.3672696, 10.430343, 96.73582106719091 
55.3672715, 10.4303421, 96.47982023388427 
55.3672741, 10.4303428, 96.04281581944977 
55.3672766, 10.4303455, 95.68880813905689 
55.3672778, 10.4303449, 95.6798076662518 
55.3672782, 10.4303453, 95.66480649162447 
55.3672787, 10.4303445, 95.55980722689205 
55.3672783, 10.4303441, 95.61580840151996 
55.3672782, 10.430344, 95.62180869517675 
55.3672767, 10.4303424, 96.07881326952537 
55.3672771, 10.4303423, 96.27781294242051 
55.3672774, 10.4303429, 96.52881155294062 
55.3672801, 10.4303426, 96.15480870932137 
55.3672824, 10.4303431, 96.09980500625686 
55.3672838, 10.4303425, 95.88480428511268 
55.3672849, 10.4303434, 95.45980139386478 
55.3672889, 10.430347, 95.29879032543519 
55.367291, 10.4303489, 95.12978449752136 
55.3672952, 10.4303505, 94.97477657073371 
