latitude, longitude, altitude 
55.3672319, 10.4303618, 96.32283600176945 
55.3672325, 10.4303616, 96.34183559597545 
55.367233, 10.4303617, 96.34183480580421 
55.3672335, 10.4303619, 96.32883384612856 
55.3672341, 10.4303622, 96.31283259281423 
55.3672349, 10.4303622, 96.30883159973885 
55.3672357, 10.4303623, 96.32783043715736 
55.3672365, 10.4303617, 96.35683046109654 
55.3672373, 10.4303611, 96.37283048503305 
55.367238, 10.43036, 96.37783148061936 
55.3672388, 10.4303592, 96.37083184355745 
55.3672395, 10.4303586, 96.37583199162282 
55.3672403, 10.4303581, 96.39783184604613 
55.3672411, 10.4303576, 96.43883170046682 
55.3672421, 10.4303572, 96.47083113710664 
55.3672429, 10.4303566, 96.48083116102465 
55.3672437, 10.4303562, 96.47083084593353 
55.3672445, 10.430356, 96.45983019183322 
55.3672456, 10.430356, 96.46382882630672 
55.3672467, 10.4303561, 96.49782729127146 
55.3672478, 10.4303562, 96.5308257562308 
55.3672489, 10.430356, 96.54982472969522 
55.3672501, 10.4303558, 96.54982357901346 
55.3672513, 10.4303558, 96.53982208931838 
55.3672524, 10.4303558, 96.54482072375902 
55.3672535, 10.4303559, 96.56881918869061 
55.3672545, 10.4303559, 96.60381794726345 
55.3672554, 10.4303558, 96.62481699947904 
55.3672564, 10.4303557, 96.6288159275474 
55.3672574, 10.4303559, 96.62281434709978 
55.3672587, 10.4303564, 96.62081188570139 
55.3672599, 10.4303564, 96.64281039596045 
55.3672612, 10.4303563, 96.68180895157144 
55.3672625, 10.430356, 96.70780784618336 
55.3672639, 10.4303557, 96.70980661664112 
55.367265, 10.4303553, 96.70180592903756 
55.3672661, 10.4303548, 96.69480541093323 
55.3672671, 10.4303539, 96.70680569498923 
55.3672681, 10.430353, 96.73880597904108 
55.3672689, 10.430352, 96.74880668089112 
55.3672698, 10.430351, 96.71580725858894 
55.3672705, 10.4303507, 96.68080689805416 
55.3672713, 10.4303507, 96.67380590485482 
55.367272, 10.4303504, 96.70680554431563 
55.3672726, 10.4303499, 96.74280564693338 
55.3672729, 10.4303487, 96.7418073085308 
55.3672734, 10.4303475, 96.72580872182544 
55.3672734, 10.4303466, 96.70281024736121 
55.3672738, 10.4303459, 96.6898109372851 
55.3672744, 10.4303455, 96.6868108703942 
55.3672751, 10.4303451, 96.70481067935032 
55.3672758, 10.4303444, 96.70381099681612 
55.3672764, 10.4303438, 96.68081126892804 
55.3672769, 10.4303433, 96.63081149568677 
55.3672772, 10.4303432, 96.5938112927338 
55.3672776, 10.4303431, 96.57081096562797 
55.3672783, 10.4303432, 96.56380992705546 
55.367279, 10.430343, 96.5718093969925 
55.3672798, 10.4303425, 96.58480925128589 
55.3672805, 10.4303423, 96.56480872121855 
55.3672813, 10.4303421, 96.53180806699515 
55.367282, 10.4303419, 96.5028075369234 
55.3672826, 10.4303415, 96.48880747001226 
55.3672833, 10.4303414, 96.4858067704328 
55.367284, 10.4303411, 96.49780640985922 
55.3672844, 10.4303407, 96.47980659125405 
55.3672849, 10.4303404, 96.4398064789886 
55.3672851, 10.4303403, 96.39880640018134 
55.3672853, 10.4303403, 96.38580615186989 
55.3672854, 10.4303403, 96.38880602771411 
55.3672857, 10.4303402, 96.39780582475049 
55.3672854, 10.4303395, 96.39080738374606 
55.3672852, 10.4303387, 96.37480898808892 
55.3672851, 10.4303382, 96.36580995976391 
55.3672853, 10.4303376, 96.35381072847565 
55.3672856, 10.4303375, 96.35081052551234 
55.3672859, 10.4303372, 96.36581066155634 
55.3672861, 10.430337, 96.37081075225211 
55.3672864, 10.4303368, 96.35081071879162 
55.3672869, 10.4303369, 96.31180992850685 
55.3672875, 10.4303371, 96.26880884456043 
55.3672882, 10.4303374, 96.2388074669515 
55.367289, 10.4303377, 96.24680596518289 
55.3672894, 10.4303377, 96.24680546855345 
55.3672899, 10.4303377, 96.2358048477656 
55.3672907, 10.4303375, 96.17380419351099 
55.3672916, 10.4303372, 96.11180358459934 
55.3672924, 10.4303368, 96.0568032693472 
55.3672931, 10.4303364, 96.04580307825141 
55.3672941, 10.4303364, 96.00180183665904 
55.3672951, 10.4303364, 95.92380059506223 
55.3672966, 10.4303367, 95.85279822414591 
55.367298, 10.430337, 95.80179597738042 
55.3672996, 10.4303374, 95.75779331277758 
55.3673009, 10.4303374, 95.74879169866874 
55.3673021, 10.4303374, 95.71679020871548 
55.3673031, 10.4303375, 95.66378879757823 
55.3673042, 10.4303377, 95.57678709276783 
55.3673052, 10.4303377, 95.4987858511259 
55.3673064, 10.4303379, 95.45178402214 
55.3673075, 10.4303378, 95.43278282582777 
55.3673086, 10.4303377, 95.36878162951024 
55.3673096, 10.4303376, 95.27678055735387 
55.3673109, 10.430338, 95.18877826516733 
55.3673122, 10.4303386, 95.1257756339624 
55.3673134, 10.4303394, 95.08377278790653 
55.3673145, 10.4303397, 95.06177091353854 
55.3673156, 10.4303398, 95.03176937817568 
55.3673166, 10.4303398, 94.98376813648244 
55.3673177, 10.4303399, 94.90676660110927 
55.3673187, 10.43034, 94.85476518990116 
55.3673198, 10.4303404, 94.8247631460005 
55.3673209, 10.4303407, 94.81876127159981 
55.367322, 10.4303408, 94.79375973620503 
55.367323, 10.4303407, 94.73875866398896 
55.3673241, 10.430341, 94.65375678957201 
55.3673253, 10.4303411, 94.57775512998799 
55.3673263, 10.4303414, 94.5247533797332 
55.3673274, 10.4303419, 94.50475116628691 
55.3673281, 10.4303421, 94.48874995805261 
55.3673287, 10.4303422, 94.46474904349719 
55.3673294, 10.4303424, 94.38874783525861 
55.3673301, 10.4303424, 94.32574696603037 
55.3673312, 10.4303427, 94.28274509157669 
55.3673322, 10.4303429, 94.28074351080036 
55.3673333, 10.4303434, 94.27174129732272 
55.3673341, 10.4303438, 94.24373962587819 
55.3673353, 10.4303445, 94.1737369491986 
55.3673366, 10.4303453, 94.09573397882599 
55.3673379, 10.4303465, 94.04573033041642 
55.3673392, 10.4303474, 94.04272719051826 
55.3673406, 10.4303481, 94.02872426544499 
55.3673419, 10.4303485, 93.98272197306508 
55.3673432, 10.430349, 93.91371951116963 
55.3673446, 10.4303494, 93.8547170945911 
55.3673459, 10.4303497, 93.80771497169393 
55.3673471, 10.4303498, 93.80771331198785 
55.3673485, 10.4303501, 93.78971106489156 
55.3673496, 10.4303503, 93.73470935984807 
55.367351, 10.4303506, 93.65170711273555 
55.3673524, 10.430351, 93.58970469610585 
55.367354, 10.4303516, 93.57370169207744 
55.3673556, 10.4303521, 93.58869885754478 
55.3673575, 10.4303526, 93.58769565043558 
55.3673593, 10.4303529, 93.56969290651547 
55.3673609, 10.4303524, 93.55869176702899 
55.3673624, 10.4303519, 93.55969075172209 
55.3673639, 10.4303513, 93.58968990591447 
55.3673653, 10.4303506, 93.62968935379776 
55.3673664, 10.4303501, 93.64968883523176 
55.3673677, 10.4303497, 93.62968789876705 
55.3673684, 10.4303489, 93.62468838548784 
55.367369, 10.4303482, 93.65168882689093 
55.3673697, 10.4303478, 93.6926886355732 
55.3673706, 10.4303473, 93.7336883653748 
55.3673717, 10.430347, 93.73968750776746 
55.3673728, 10.4303467, 93.71468665015504 
55.367374, 10.4303465, 93.70668549883364 
55.3673753, 10.4303462, 93.73468439281922 
55.3673767, 10.430346, 93.77568299309246 
55.367378, 10.4303457, 93.8036818870631 
55.3673794, 10.4303456, 93.79268031781132 
55.3673807, 10.4303456, 93.76467870324007 
55.3673822, 10.4303456, 93.77467684026396 
55.3673837, 10.4303459, 93.80367446875047 
55.3673849, 10.4303457, 93.85267331737282 
55.3673859, 10.4303452, 93.88967292291753 
55.3673869, 10.4303447, 93.89567252845814 
55.3673879, 10.4303444, 93.87767179497612 
55.3673884, 10.4303436, 93.86767253004363 
55.367389, 10.4303429, 93.87667297139916 
55.3673899, 10.4303425, 93.89467253161985 
55.3673909, 10.4303418, 93.91767247616244 
55.367392, 10.4303412, 93.90967212698888 
55.367393, 10.4303409, 93.87667139348596 
55.3673941, 10.4303407, 93.85767036626589 
55.3673951, 10.4303408, 93.85266895471693 
55.3673964, 10.4303408, 93.8736673400587 
55.3673977, 10.4303408, 93.90666572539305 
55.3673986, 10.4303403, 93.91366545509058 
55.3673997, 10.43034, 93.90166459735363 
55.3674005, 10.4303393, 93.88866479026925 
55.3674014, 10.4303383, 93.89366536750367 
55.3674021, 10.4303373, 93.90466619314893 
55.3674028, 10.4303364, 93.9186668492826 
55.3674036, 10.4303358, 93.91066687267838 
55.3674046, 10.4303351, 93.89466681716476 
55.3674058, 10.4303351, 93.88066532666431 
55.3674072, 10.430335, 93.88266375724862 
55.3674084, 10.4303353, 93.90466175820592 
55.3674097, 10.4303354, 93.93565997396536 
55.3674111, 10.4303359, 93.94065738746747 
55.3674124, 10.4303363, 93.93365509468151 
55.3674139, 10.4303367, 93.926652553463 
55.3674154, 10.4303371, 93.92565001223389 
55.3674168, 10.4303375, 93.95064759520774 
55.3674179, 10.4303376, 93.97164605934537 
55.3674189, 10.4303378, 93.95864447818187 
55.3674199, 10.4303382, 93.93464255799313 
55.3674212, 10.4303388, 93.90663992613207 
55.3674224, 10.4303394, 93.89563741847877 
55.3674236, 10.4303399, 93.92363508032872 
55.3674249, 10.4303402, 93.95463295697576 
55.3674263, 10.4303404, 93.93363087890773 
55.3674276, 10.4303406, 93.89662892504937 
55.3674291, 10.4303409, 93.88262655323402 
