timestamp, latitude, longitude, altitude 
1762512571.7517552, 55.3673524, 10.4331804, 60.09090555228701 
1762512592.2122269, 55.3675517, 10.4331672, 60.652680099260365 
1762512599.814328, 55.3676396, 10.433146, 60.028606712421336 
1762512606.1563704, 55.3677126, 10.4331377, 60.24352994427697 
1762512611.952482, 55.3677754, 10.4331239, 59.97747518862752 
1762512616.9365332, 55.3678315, 10.433118, 60.19241535013526 
1762512625.3316975, 55.3679201, 10.4330943, 60.28134523115074 
1762512628.982072, 55.3679558, 10.4330822, 60.007321297794306 
1762512632.4310174, 55.3679866, 10.4330629, 60.6873156860056 
1762512642.3131888, 55.368093, 10.4330439, 60.70421534665101 
1762512645.7996852, 55.3681253, 10.4330273, 60.84820326457716 
1762512648.971673, 55.3681627, 10.4330112, 60.849183971478666 
1762512652.3117871, 55.3681964, 10.4330064, 61.10015010401655 
1762512655.6317916, 55.3682306, 10.4330002, 61.29111798477048 
1762512662.3395977, 55.3682924, 10.4329865, 61.735064170086694 
1762512665.6886923, 55.368307, 10.432978, 61.80306038916036 
1762512672.333643, 55.3683346, 10.4329793, 60.92002375535223 
1762512675.662761, 55.3683589, 10.4329716, 60.75600651313449 
1762512682.2458498, 55.3683711, 10.4329549, 60.862019642402956 
1762512685.5748503, 55.3683701, 10.4329564, 60.73601834362806 
