Timestamp, RSSI, REM_RSSI, noise, REM_noise, rxerrors 
1762512534.2894204, -20.6842098236084, -22.789474487304688, 44, 31, 0 
1762512535.2981312, -20.157894134521484, -22.789474487304688, 44, 42, 0 
1762512536.2591605, -21.210525512695312, -22.789474487304688, 53, 36, 0 
1762512537.2631104, -21.210525512695312, -22.789474487304688, 63, 36, 0 
1762512538.2695239, -21.210525512695312, -22.789474487304688, 70, 36, 0 
1762512539.3611429, -21.210525512695312, -22.789474487304688, 42, 36, 0 
1762512540.3861995, -21.210525512695312, -23.3157901763916, 57, 48, 0 
1762512541.2812252, -21.210525512695312, -23.3157901763916, 74, 44, 0 
1762512542.358307, -19.63157844543457, -22.263158798217773, 53, 36, 0 
1762512543.2623682, -19.63157844543457, -22.263158798217773, 84, 41, 0 
1762512544.2686617, -19.105262756347656, -22.263158798217773, 83, 41, 0 
1762512545.2711523, -27.0, -21.736841201782227, 60, 42, 0 
1762512546.3712034, -20.6842098236084, -21.736841201782227, 57, 40, 0 
1762512547.3113637, -20.157894134521484, -21.736841201782227, 80, 43, 0 
1762512548.258318, -19.63157844543457, -21.736841201782227, 61, 43, 0 
1762512549.2583506, -20.157894134521484, -29.63157844543457, 51, 43, 0 
1762512550.3073404, -24.36842155456543, -27.0, 57, 46, 0 
1762512551.3094764, -27.526315689086914, -28.052631378173828, 64, 37, 0 
1762512552.2813957, -28.052631378173828, -30.157894134521484, 59, 34, 0 
1762512553.2713346, -30.6842098236084, -32.78947448730469, 59, 44, 0 
1762512554.34034, -28.578947067260742, -31.210525512695312, 52, 39, 0 
1762512555.2824621, -29.105262756347656, -31.210525512695312, 62, 34, 0 
1762512556.326464, -34.894737243652344, -59.6315803527832, 54, 44, 0 
1762512557.2785213, -32.26315689086914, -35.421051025390625, 45, 42, 0 
1762512558.3204927, -31.210525512695312, -34.3684196472168, 78, 40, 0 
1762512559.3265204, -40.68421173095703, -34.3684196472168, 92, 40, 0 
1762512560.3194673, -30.157894134521484, -33.31578826904297, 58, 38, 0 
1762512561.3035557, -31.736841201782227, -33.31578826904297, 57, 38, 0 
1762512562.3196077, -32.78947448730469, -34.894737243652344, 55, 44, 0 
1762512563.31167, -33.31578826904297, -35.94736862182617, 48, 40, 0 
1762512564.2866886, -39.105262756347656, -40.157894134521484, 57, 37, 0 
