Timestamp, RSSI, REM_RSSI, noise, REM_noise, rxerrors 
1762512148.3858802, -54.894737243652344, -42.26315689086914, 72, 36, 15 
1762512149.4398432, -42.26315689086914, -44.894737243652344, 70, 42, 15 
1762512150.3808858, -44.3684196472168, -47.0, 75, 38, 15 
1762512151.4019198, -45.421051025390625, -47.0, 67, 37, 15 
1762512152.4640045, -43.842105865478516, -44.894737243652344, 75, 34, 15 
1762512153.4070344, -52.78947448730469, -52.26315689086914, 71, 41, 15 
1762512154.3910933, -57.52631759643555, -52.26315689086914, 73, 41, 16 
1762512155.398058, -60.157894134521484, -62.78947448730469, 72, 34, 16 
1762512156.4142368, -67.52631378173828, -74.89473724365234, 70, 38, 17 
1762512157.376265, -62.78947448730469, -65.42105102539062, 71, 42, 17 
1762512158.3832822, -59.6315803527832, -61.21052551269531, 68, 53, 17 
1762512159.443296, -71.21052551269531, -72.2631607055664, 70, 33, 17 
1762512160.3933508, -64.89473724365234, -67.0, 70, 34, 17 
1762512161.4073818, -69.63157653808594, -72.78947448730469, 68, 33, 17 
1762512162.4684055, -62.78947448730469, -64.89473724365234, 69, 36, 17 
1762512163.3774047, -61.73684310913086, -59.6315803527832, 72, 39, 17 
1762512164.3804715, -67.0, -59.6315803527832, 67, 39, 17 
1762512165.3875275, -72.2631607055664, -59.6315803527832, 69, 39, 18 
1762512166.4438539, -69.10526275634766, -69.10526275634766, 71, 30, 18 
1762512167.3855653, -69.10526275634766, -65.9473648071289, 68, 36, 18 
1762512168.4056525, -71.7368392944336, -74.36842346191406, 69, 30, 18 
1762512169.4677167, -69.10526275634766, -69.63157653808594, 70, 26, 18 
1762512170.3758082, -69.63157653808594, -71.21052551269531, 69, 35, 18 
1762512171.3947413, -72.78947448730469, -70.68421173095703, 68, 30, 19 
1762512172.3946986, -77.0, -75.9473648071289, 62, 28, 19 
1762512173.4177897, -76.47368621826172, -79.63157653808594, 75, 26, 20 
1762512174.3738894, -78.0526351928711, -75.42105102539062, 69, 44, 20 
1762512175.3769333, -75.9473648071289, -75.42105102539062, 71, 44, 20 
1762512176.3889644, -72.2631607055664, -75.42105102539062, 66, 44, 21 
1762512177.3959982, -73.31578826904297, -75.42105102539062, 66, 44, 22 
1762512178.4920216, -72.78947448730469, -82.2631607055664, 72, 38, 22 
1762512179.421107, -75.42105102539062, -82.2631607055664, 73, 38, 22 
1762512180.3851042, -70.68421173095703, -78.0526351928711, 68, 52, 23 
1762512181.3851736, -71.7368392944336, -74.36842346191406, 74, 32, 23 
1762512182.393177, -73.31578826904297, -75.42105102539062, 68, 25, 23 
1762512183.39262, -75.42105102539062, -76.47368621826172, 69, 33, 23 
1762512184.3783464, -75.9473648071289, -80.68421173095703, 69, 34, 23 
1762512185.4383123, -74.89473724365234, -77.52631378173828, 68, 36, 23 
1762512186.4673562, -76.47368621826172, -77.52631378173828, 72, 36, 24 
1762512187.3774002, -74.36842346191406, -75.9473648071289, 70, 50, 24 
1762512188.4122875, -73.84210205078125, -74.89473724365234, 73, 27, 26 
1762512189.401721, -75.9473648071289, -74.89473724365234, 65, 27, 28 
