timestamp, latitude, longitude, altitude 
1762512108.8504024, 55.3671315, 10.4332068, 65.72913526407356 
1762512111.8317506, 55.3671328, 10.4332174, 65.3671156591544 
1762512115.9449606, 55.3671364, 10.4332232, 64.58010134337289 
1762512127.8789454, 55.3671311, 10.4332291, 61.50709791401383 
1762512131.8531654, 55.3671316, 10.4332316, 61.52809304992927 
1762512135.8472536, 55.3671321, 10.4332328, 62.41509039217847 
1762512139.9275699, 55.3671597, 10.4332262, 62.51106730558617 
1762512143.9195995, 55.3671957, 10.4332178, 62.52803683361684 
1762512151.9249578, 55.3672802, 10.4332033, 62.251956433782254 
1762512155.8601327, 55.3673234, 10.4331951, 62.09591665392882 
1762512159.9183393, 55.3673685, 10.4331889, 61.65087110941383 
1762512167.8406227, 55.3674616, 10.4331827, 60.76176586436547 
1762512171.80282, 55.3675079, 10.4331706, 60.15572881460099 
1762512184.8363237, 55.3676565, 10.4331341, 58.9726058792119 
1762512187.5774238, 55.3676875, 10.4331276, 58.77357832995723 
1762512196.9077082, 55.3677917, 10.4331028, 58.06749070923999 
1762512204.578068, 55.3678715, 10.4330988, 57.49039812635928 
1762512223.745716, 55.3680674, 10.4330286, 57.766273224152414 
1762512229.9962118, 55.3681409, 10.4330159, 57.91420316980161 
1762512232.639134, 55.3681724, 10.4330069, 58.005179177767175 
1762512235.2555573, 55.3682022, 10.4330036, 57.93314762541242 
1762512246.7675824, 55.3683318, 10.4329974, 58.05999652218429 
1762512256.80991, 55.3684433, 10.4329948, 57.53286182242495 
